,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Ν,"('Μ', 0.9784194182568714, 0.5134935317649121)","('Ν', 0.9736834789176113, 0.4555157935898946)","('Κ', 0.9678805772809655, 0.3911037458101766)","('Χ', 0.9697314399966194, 0.34164781043366277)","('A', 0.9491566818029513, 0.33021378435696036)","('Π', 0.9953100029824511, 0.32028299547588746)","('Η', 0.9927025377166213, 0.31666670059386726)","('Λ', 0.9363326914528682, 0.3166523230374374)","('Υ', 0.9067422950925192, 0.29422195586154753)","('Ο', 0.9668874729335891, 0.28208940052086906)","('Θ', 0.9889802141950768, 0.2765867245076197)","('Ω', 0.9805803644033648, 0.23869355686293792)","('Ψ', 0.9844065951945559, 0.22852314724534595)","('Ζ', 0.9206044419570103, 0.16827408128424282)","('Δ', 0.9390622025625353, 0.16548772696724479)","('Ε', 0.927249268485429, 0.1375897852397392)","('Φ', 0.9650506192081282, 0.12949249833889132)","('Ρ', 0.9717531245831417, 0.09633790392012209)","('Β', 0.9408548147651659, 0.08793818065480341)","('Ξ', 0.9094626005195262, 0.0)","('Σ', 0.8375081939417774)","('ΡΔ', 0.8097385654414542)","('ΔΤ', 0.8085487006395757)","('ΔΨ', 0.785413817789304)","('Τ', 0.7788348169431999)","('ΔΥ', 0.7723365545753244)","('Ι', 0.7419144556974797)","('ΡA', 0.7244354080605795)","('Γ', 0.7219105960421788)","('ΡΛ', 0.6826355264042869)","('AΤ', 0.6803965139877048)","('AΨ', 0.6717599756775804)","('ΨΔ', 0.6662257927177455)","('ΛΨ', 0.6570488529033092)","('ΤΔ', 0.6440954781720827)","('ΛΤ', 0.6404245207215582)","('AΥ', 0.6385883228821077)","('ΛΥ', 0.6041285346265104)","('ΨA', 0.5575371224347827)","('ΤA', 0.5145804605763807)","('ΨΛ', 0.5070672097166866)","('´', 0.4970902095432673)","('ΥΔ', 0.46502798112488786)","('ΤΛ', 0.4128512284712438)","('ΓΔ', 0.36107795756847993)","('ΥA', 0.3025082708113087)","('ΥΛ', 0.18145236398685805)","('ΓA', 0.1704158130018555)","('ΓΛ', 0.0)"
Ξ,"('Ξ', 0.9939051554360819, 0.5263977910958177)","('A', 0.9388830553305476, 0.4559321548577815)","('Λ', 0.9380381076526216, 0.45236804241627715)","('Ζ', 0.9933685617398961, 0.4486185029837838)","('Χ', 0.9809323331493585, 0.44511651770812244)","('Υ', 0.9575890120207402, 0.43957203286197777)","('Θ', 0.9096947844721655, 0.41502000392063176)","('Σ', 0.9781002198077037, 0.4082442342882723)","('Δ', 0.9595751254914188, 0.39715277433789786)","('Ν', 0.918696635489962, 0.39282932557448846)","('Ω', 0.9392172385105447, 0.387204018641645)","('Κ', 0.9641811126628465, 0.3834450771166382)","('Ε', 0.9844468451257994, 0.3598937740968041)","('Ψ', 0.9103850942475146, 0.35015055820348506)","('Τ', 0.9254888483003307, 0.3190854221561049)","('Φ', 0.9083559845575107, 0.29672295215293365)","('Ρ', 0.9563955012541702, 0.2696905595227166)","('Η', 0.9355866956412642, 0.267922904161193)","('Π', 0.9478225161238435, 0.2637677319849179)","('Β', 0.9338167099233745, 0.22080473536416023)","('Ι', 0.9457951637114959, 0.0)","('Ο', 0.8995956672351122)","('Γ', 0.8885712891583282)","('Μ', 0.8883255340299473)","('ΔΤ', 0.7170322497317847)","('ΡΔ', 0.6926937858305109)","('ΔΥ', 0.6687280091932339)","('ΔΨ', 0.655593709889233)","('ΡA', 0.60541380500185)","('AΤ', 0.5880287937379869)","('ΡΛ', 0.5686376672101409)","('ΤΔ', 0.5635785748976756)","('ΛΤ', 0.556681188947547)","('ΨΔ', 0.5442693542932029)","('AΨ', 0.5434154185083503)","('AΥ', 0.5371563036727336)","('ΛΨ', 0.5307243788864445)","('ΛΥ', 0.5092113193766665)","('´', 0.47110227889994283)","('ΨA', 0.4401744850768503)","('ΤA', 0.43827489777171336)","('ΨΛ', 0.3961435960874071)","('ΥΔ', 0.3890188510872118)","('ΤΛ', 0.35386263644789495)","('ΓΔ', 0.31427607995211193)","('ΥA', 0.23916175654756322)","('ΓA', 0.1400971702554522)","('ΥΛ', 0.13824067766574055)","('ΓΛ', 0.0)"
´,"('´', 0.9969589309894531, 0.0)","('Ψ', 0.8168553348526133)","('Ρ', 0.8032511120672571)","('Υ', 0.7804206453491576)","('Ν', 0.7588259881922379)","('Κ', 0.7418156247611258)","('Ε', 0.7385232497998443)","('Χ', 0.7382016342357602)","('Π', 0.7249354536689743)","('Φ', 0.7229969294850771)","('Θ', 0.7133877306449763)","('Η', 0.7132789407569784)","('Γ', 0.7126315357772592)","('Τ', 0.7051986100231465)","('Μ', 0.689071227269992)","('Ζ', 0.6809745131361056)","('Ο', 0.6766936257946194)","('Β', 0.6742281136373115)","('A', 0.664532078521701)","('Ω', 0.6503629372644663)","('Λ', 0.6495054983697939)","('Ξ', 0.6460740714907192)","('Σ', 0.6407902446676501)","('Δ', 0.6258764633278748)","('Ι', 0.601168935945)","('ΡΔ', 0.5520410305286971)","('ΔΤ', 0.5481284861315767)","('ΔΨ', 0.5397074233700847)","('ΔΥ', 0.529042437436396)","('ΡA', 0.5079733137090516)","('ΡΛ', 0.4910569226943733)","('ΨΔ', 0.4558941966585359)","('AΨ', 0.45523547994735225)","('AΤ', 0.4544486620881597)","('ΛΨ', 0.451933169031703)","('AΥ', 0.43085850302056317)","('ΛΤ', 0.42997877532397055)","('ΛΥ', 0.4102043083831183)","('ΤΔ', 0.40377926178269985)","('ΨA', 0.39494170270189866)","('ΨΛ', 0.37443880973513943)","('ΤA', 0.33198446303907414)","('ΥΔ', 0.2757464388080594)","('ΤΛ', 0.2739471980805681)","('ΓΔ', 0.2067356341155151)","('ΥA', 0.18350335058442513)","('ΥΛ', 0.11472163375851929)","('ΓA', 0.09932808715733954)","('ΓΛ', 0.0)"
Ε,"('Κ', 0.9880993700099964, 0.4756138079816363)","('Ν', 0.9318243614166, 0.4697457398825251)","('Ε', 0.996774870343533, 0.4496753838004235)","('Χ', 0.9833205805287563, 0.4354874302244318)","('A', 0.9431391741276391, 0.41262922561479687)","('Ο', 0.9081317164143536, 0.4061312331326785)","('Λ', 0.9355993701464431, 0.40290900884481107)","('Θ', 0.9286017683069678, 0.4012256574488192)","('Ζ', 0.9811844029192127, 0.39553249783644295)","('Δ', 0.9546742962825056, 0.39535628585752414)","('Η', 0.9496084518946957, 0.3902379633945877)","('Π', 0.9582537486177736, 0.3897658529680188)","('Υ', 0.9630983710639246, 0.3764744360803328)","('Ω', 0.9454210422610734, 0.35311659344921886)","('Ρ', 0.9769361880569827, 0.32273418986038516)","('Τ', 0.9065882568642684, 0.27697782594631093)","('Ψ', 0.9329699374770082, 0.2763796098457245)","('Β', 0.9410486356477871, 0.26867298112607774)","('Σ', 0.963480014346483, 0.26406776104527585)","('Μ', 0.9017414120621269, 0.2553013449382141)","('Ξ', 0.9776326452768253, 0.24836605604008533)","('Φ', 0.9314115630220534, 0.18622466100689994)","('Ι', 0.9252213729933794, 0.0)","('Γ', 0.8925062842698023)","('ΔΤ', 0.7274687881668239)","('ΡΔ', 0.7132721630982766)","('ΔΥ', 0.6863377618825414)","('ΔΨ', 0.6712525063231367)","('ΡA', 0.6311030180852378)","('AΤ', 0.595693474435631)","('ΡΛ', 0.5944533822528391)","('´', 0.5623308866865293)","('ΤΔ', 0.5622369421929307)","('ΨΔ', 0.5608702027824582)","('ΛΤ', 0.5596467538523748)","('AΨ', 0.5560961627762939)","('AΥ', 0.5513613723792969)","('ΛΨ', 0.5407435896377697)","('ΛΥ', 0.5193709629286862)","('ΨA', 0.4611237522690359)","('ΤA', 0.44200403314036885)","('ΨΛ', 0.41742933155324646)","('ΥΔ', 0.3895126255910456)","('ΤΛ', 0.3556704143219602)","('ΓΔ', 0.3124560038139147)","('ΥA', 0.2438045108667919)","('ΓA', 0.1424998595500283)","('ΥΛ', 0.14139662758322447)","('ΓΛ', 0.0)"
Ρ,"('Ρ', 0.9969079952268104, 0.34805863281787786)","('Ε', 0.9798662197554652, 0.28434332792260864)","('Ο', 0.9134238572394906, 0.2616355474112838)","('Θ', 0.9453175793681224, 0.2558882308132957)","('Β', 0.9559548288859238, 0.23346948062080608)","('Ψ', 0.9696813101429814, 0.2277147626802758)","('Ν', 0.9436135035042295, 0.2244606482737601)","('Ω', 0.9420501904559375, 0.22372736383434721)","('Χ', 0.9798053346646182, 0.2229463213667099)","('Η', 0.9628998382065195, 0.2039160491300448)","('Ζ', 0.9641949824635357, 0.2025435037049963)","('Π', 0.9708183228466465, 0.1933905105186302)","('Κ', 0.9769051653935256, 0.18262461800687213)","('Δ', 0.9344397801429513, 0.17924899786862902)","('Υ', 0.9595142917443034, 0.175088872261984)","('Λ', 0.9173952818503247, 0.17184379344981138)","('A', 0.9283682598493616, 0.16844519028656957)","('Σ', 0.9287360026108324, 0.11935727588897782)","('Φ', 0.9536863858533992, 0.07521916194132117)","('Ξ', 0.9540696369697845, 0.04660567292239626)","('Μ', 0.9230573315059294, 0.0)","('Ι', 0.8989617278882598)","('Τ', 0.8967335849611203)","('Γ', 0.8640381540049329)","('ΔΤ', 0.7313455594377031)","('ΡΔ', 0.7269451941760368)","('ΔΨ', 0.6956861171947442)","('ΔΥ', 0.6907600553111519)","('´', 0.664258228022595)","('ΡA', 0.6433490187366571)","('ΡΛ', 0.6077907213415497)","('AΤ', 0.6022361100585422)","('ΨΔ', 0.5824035675634323)","('AΨ', 0.5816861174547738)","('ΛΨ', 0.5699248414177203)","('ΤΔ', 0.5683489235304731)","('ΛΤ', 0.5681152534904521)","('AΥ', 0.5581483736557187)","('ΛΥ', 0.5283306595713683)","('ΨA', 0.4808883779011617)","('ΤA', 0.4476970941676077)","('ΨΛ', 0.4388605340129269)","('ΥΔ', 0.39647017674442986)","('ΤΛ', 0.3612795468827744)","('ΓΔ', 0.31269563146688306)","('ΥA', 0.2501523819030821)","('ΥΛ', 0.14796258009111118)","('ΓA', 0.14279854241393797)","('ΓΛ', 0.0)"
Ω,"('Ω', 0.9952107979850964, 0.40467196125042315)","('Μ', 0.9699588989183794, 0.39859375724558144)","('Ο', 0.9522039049312665, 0.3848467539397534)","('Θ', 0.9830757349498924, 0.3460115714955657)","('Ν', 0.925442971993535, 0.3104448328908236)","('Χ', 0.9388253839090158, 0.26586767027403335)","('Κ', 0.9622564093734135, 0.2608161397387514)","('Λ', 0.9175378005875037, 0.2413080236706039)","('A', 0.9351155295625467, 0.23966672462999028)","('Η', 0.990102072317345, 0.20220647285623317)","('Π', 0.9844030635143453, 0.20143568068696827)","('Ψ', 0.9304582549219556, 0.19283938036071646)","('Ζ', 0.9027839053003404, 0.1637266258609843)","('Δ', 0.9437411953251437, 0.16118617999116092)","('Φ', 0.967190288886494, 0.12891379615367138)","('Ε', 0.9144752491950771, 0.05965112409213813)","('Ξ', 0.9056266936098416, 0.044363594433651454)","('Β', 0.9588694717995642, 0.038524342762943475)","('Ρ', 0.9410516772323755, 0.0)","('Υ', 0.8445300344461908)","('Σ', 0.8291854901288436)","('ΡΔ', 0.8071516929144179)","('ΔΤ', 0.7924633663673932)","('ΔΨ', 0.7690876879978659)","('ΔΥ', 0.7588662169375513)","('Ι', 0.7491941769287569)","('ΡA', 0.7178587921735939)","('Τ', 0.7100267178736159)","('ΡΛ', 0.672204747758536)","('Γ', 0.6659484881385825)","('AΤ', 0.661826582742943)","('ΨΔ', 0.6548547266399927)","('AΨ', 0.6531509332191889)","('ΛΨ', 0.6325558127438855)","('ΤΔ', 0.6323300580642526)","('AΥ', 0.6233617166308669)","('ΛΤ', 0.6168495761585218)","('ΛΥ', 0.5841749165643846)","('ΨA', 0.5446702694083985)","('ΤA', 0.5011993715652472)","('ΨΛ', 0.49029922280216676)","('ΥΔ', 0.4612562017558475)","('ΤΛ', 0.3970975286598857)","('ΓΔ', 0.3631553255328567)","('ΥA', 0.29809095971024213)","('´', 0.296802558416565)","('ΥΛ', 0.17532937150731398)","('ΓA', 0.17133765045126959)","('ΓΛ', 0.0)"
Τ,"('Ν', 0.9438795993933949, 0.32787744888692383)","('Λ', 0.9115576083084506, 0.30827649161533277)","('Υ', 0.9946234905853438, 0.3053061688968305)","('Ψ', 0.9216979004253532, 0.30231689836376563)","('A', 0.9005985516894749, 0.3002513782115557)","('Τ', 0.9653322593292778, 0.275894436002427)","('Χ', 0.9727451375594098, 0.2439599289629193)","('Γ', 0.937048418716275, 0.20640657772192683)","('Κ', 0.9246782665503182, 0.20469376803840977)","('Ε', 0.9575628943295982, 0.16582117002574193)","('Π', 0.9120832493473533, 0.16502373438796425)","('Ζ', 0.9671753856880758, 0.08870651804164043)","('Ρ', 0.939564649925483, 0.08069138336172732)","('Σ', 0.9463086062616229, 0.016408330918340375)","('Ξ', 0.954754300292207, 0.0)","('Δ', 0.8902794982585679)","('Η', 0.8842236370930123)","('Ο', 0.8825531824670927)","('Ω', 0.8727105621918921)","('Ι', 0.8672725667164395)","('Θ', 0.8638461265164852)","('Μ', 0.8435925086719722)","('Β', 0.8343573641808711)","('Φ', 0.833944231402546)","('ΔΤ', 0.7170265290993079)","('ΡΔ', 0.6707358575135867)","('ΔΥ', 0.6665758259149497)","('´', 0.6640961932679014)","('ΔΨ', 0.6443481863603621)","('ΡA', 0.5955083051613254)","('AΤ', 0.5941725086773908)","('ΛΤ', 0.5707159066929574)","('ΡΛ', 0.5680473971898348)","('ΤΔ', 0.5597574272363703)","('AΥ', 0.539822128504222)","('AΨ', 0.5374602866805274)","('ΨΔ', 0.535870909056541)","('ΛΨ', 0.5321772052877977)","('ΛΥ', 0.5190946284693632)","('ΤA', 0.4426790622203127)","('ΨA', 0.4394460318679916)","('ΨΛ', 0.4039803419613377)","('ΥΔ', 0.3775102694739302)","('ΤΛ', 0.3663743754696285)","('ΓΔ', 0.303951008153892)","('ΥA', 0.23332565816013873)","('ΥΛ', 0.1386041875818136)","('ΓA', 0.13509476866843417)","('ΓΛ', 0.0)"
Ι,"('Ι', 0.9960522212478347, 0.5046250457495095)","('Ε', 0.94207926788024, 0.21551747746405092)","('Σ', 0.9743203557186682, 0.2021665580672677)","('Γ', 0.9319521592995856, 0.18825204858379163)","('Τ', 0.9499820309201845, 0.18485149543257084)","('Ζ', 0.948142719169162, 0.1430939344039016)","('Χ', 0.9067783311198769, 0.014421483919169531)","('Υ', 0.9218845769777776, 0.011413629239658829)","('Ξ', 0.9490646516816639, 0.0)","('Ρ', 0.8877969317707141)","('Κ', 0.8865786773883085)","('Δ', 0.8799110586647824)","('Β', 0.8592775482618941)","('Λ', 0.8498150842892586)","('A', 0.8474921826557226)","('Π', 0.841544868720186)","('Η', 0.8253666651203616)","('Ω', 0.8244831545898519)","('Ν', 0.8141896548454126)","('Ψ', 0.8138435568900716)","('Φ', 0.8131741902095291)","('Θ', 0.7899201979048435)","('Ο', 0.7765079163298862)","('Μ', 0.7616556158475767)","('ΔΤ', 0.5912970807782598)","('ΡΔ', 0.5594024608235546)","('´', 0.5502499171296857)","('ΔΥ', 0.5426564543636925)","('ΔΨ', 0.5210606771622551)","('ΡA', 0.4811323665108883)","('AΤ', 0.4735025790568439)","('ΤΔ', 0.4537782879790133)","('ΡΛ', 0.452175739236492)","('ΛΤ', 0.4501777117689032)","('AΥ', 0.42428842000631384)","('ΨΔ', 0.4235793084369541)","('AΨ', 0.41950327098002926)","('ΛΨ', 0.410409360780291)","('ΛΥ', 0.402958092216551)","('ΤA', 0.34614808821301035)","('ΨA', 0.3343695267500183)","('ΨΛ', 0.30049224816603437)","('ΥΔ', 0.2996149120533992)","('ΤΛ', 0.2814560327990112)","('ΓΔ', 0.2476859390094901)","('ΥA', 0.17572009155958934)","('ΓA', 0.10537220051251106)","('ΥΛ', 0.0987893970687358)","('ΓΛ', 0.0)"
Π,"('Π', 0.9975523815606374, 0.49483466074333926)","('Η', 0.9910565520731713, 0.4676263569336031)","('Μ', 0.9704211574012076, 0.4513554379338278)","('Ν', 0.9715927149119667, 0.42387222129469027)","('Κ', 0.9688803340574109, 0.38880938619442973)","('Ο', 0.968279280161459, 0.32828272871131936)","('Λ', 0.9379117508183317, 0.3018760658306465)","('A', 0.9458589713045085, 0.29703090210824845)","('Χ', 0.9772932571692126, 0.27514304582045945)","('Ω', 0.9855514209309832, 0.2642807098177018)","('Υ', 0.9156304476550059, 0.25374391076424796)","('Θ', 0.9821574545992006, 0.24700605949778143)","('Ε', 0.9415158764515076, 0.2428242680034185)","('Ψ', 0.9722108933434682, 0.19158623567205169)","('Δ', 0.9429560154176158, 0.16004697915345878)","('Β', 0.9433486793980534, 0.14940141456923406)","('Ρ', 0.9720909116348296, 0.14933037802253313)","('Ζ', 0.9411269768527352, 0.14865090412781168)","('Φ', 0.9549135575341046, 0.06650381929376326)","('Ξ', 0.9364516722030289, 0.0)","('Σ', 0.869267907038699)","('ΔΤ', 0.8051037096585935)","('Τ', 0.8039813980885742)","('ΡΔ', 0.8015709201579891)","('Ι', 0.7773695398946345)","('ΔΨ', 0.7722949233132819)","('ΔΥ', 0.7640899080596948)","('Γ', 0.7516628230033392)","('ΡA', 0.7132708369847401)","('AΤ', 0.6744767978780859)","('ΡΛ', 0.6727344981849304)","('AΨ', 0.6565064470996071)","('ΨΔ', 0.654619256060729)","('ΤΔ', 0.6425428703045591)","('ΛΨ', 0.6424021244640213)","('ΛΤ', 0.6365787870092565)","('AΥ', 0.6283193388130244)","('ΛΥ', 0.5954815957500021)","('ΨA', 0.5434149155556134)","('ΤA', 0.5100432103873147)","('ΨΛ', 0.4938717159164888)","('ΥΔ', 0.4600706886227499)","('´', 0.4450724593905435)","('ΤΛ', 0.410707225773039)","('ΓΔ', 0.3623756991977305)","('ΥA', 0.2947929843053704)","('ΥΛ', 0.17553021428935323)","('ΓA', 0.16824016070767567)","('ΓΛ', 0.0)"
Ο,"('Ο', 0.9933050370568108, 0.436939917374071)","('Μ', 0.9663036224630929, 0.4133472399836914)","('Θ', 0.9715637888020928, 0.3676604473405469)","('Ω', 0.9846690791910192, 0.3509623803891847)","('Ν', 0.9774416200118081, 0.3396299325244867)","('Κ', 0.9296592511337121, 0.24854253333165854)","('Λ', 0.9220156617901559, 0.24596582830708835)","('A', 0.921067756743698, 0.24534105813712148)","('Η', 0.9707850778899855, 0.2347011057384144)","('Ψ', 0.9322797868349268, 0.23426058478056455)","('Π', 0.9820528629624885, 0.23317784638446837)","('Χ', 0.9431332461502607, 0.23066018543592892)","('Ρ', 0.9070337111324278, 0.0)","('Δ', 0.8995401842919275)","('Φ', 0.8923069816042648)","('Ξ', 0.8879388048430337)","('Ζ', 0.8850738301708904)","('Ε', 0.8787939685819045)","('ΔΤ', 0.8615620880705539)","('Β', 0.8599268814297291)","('Υ', 0.854839396944613)","('ΡΔ', 0.8509283827268508)","('ΔΥ', 0.8212949641912821)","('ΔΨ', 0.8169244155772054)","('Σ', 0.786991371330208)","('ΡA', 0.7660493867919967)","('AΤ', 0.7312358978330981)","('ΡΛ', 0.7253871078743463)","('ΨΔ', 0.7028374979533414)","('AΨ', 0.7009531697889401)","('ΤΔ', 0.6973396687831677)","('Τ', 0.6922291772362323)","('ΛΤ', 0.691104192420758)","('ΛΨ', 0.6846490064015054)","('AΥ', 0.6837583238643317)","('ΛΥ', 0.6490850626571308)","('Γ', 0.6489633320781778)","('Ι', 0.6071623507486364)","('ΨA', 0.588726956013464)","('ΤA', 0.5600526177111025)","('ΨΛ', 0.5358507411186321)","('ΥΔ', 0.5049839396724565)","('ΤΛ', 0.4533331159783134)","('ΓΔ', 0.4019722258501902)","('ΥA', 0.32674076241437366)","('´', 0.2190298095968678)","('ΥΛ', 0.19505988853928935)","('ΓA', 0.18892912086453317)","('ΓΛ', 0.0)"
ΤA,"('ΨΔ', 0.9127648374275834, 0.5877009401189206)","('ΡA', 0.9385978340200738, 0.551195013150072)","('ΡΛ', 0.9128000535802608, 0.5292400114043261)","('AΨ', 0.9170959497001674, 0.5264284280691706)","('ΛΨ', 0.9060372828188076, 0.5175811038829803)","('ΔΥ', 0.9651688351946239, 0.504832401573234)","('AΤ', 0.9183263483293698, 0.4629965803646352)","('ΔΨ', 0.9725154383708668, 0.45585147220448763)","('ΡΔ', 0.9767805505230089, 0.4542636571360088)","('ΔΤ', 0.9774293281258066, 0.37205616400883923)","('Μ', 0.9129482563186679, 0.1279393735565585)","('Ο', 0.9586699751603018, 0.0)","('Ν', 0.8993896527144916)","('AΥ', 0.8959087500000106)","('ΤΔ', 0.8936162155231693)","('ΛΤ', 0.8900521064987661)","('Θ', 0.8852300728742829)","('Ω', 0.8777760849029821)","('ΛΥ', 0.872742538470355)","('Π', 0.8541981167228878)","('Η', 0.8466597609603288)","('ΨA', 0.841817478103001)","('ΤA', 0.807566744723019)","('Ψ', 0.8060605569250566)","('ΨΛ', 0.8023507542969828)","('Λ', 0.7821340378501644)","('ΥΔ', 0.7737419843488481)","('A', 0.7717713169332219)","('Χ', 0.7437931867068297)","('ΤΛ', 0.72414663067165)","('Φ', 0.7206868198945923)","('Κ', 0.7203135911903022)","('Δ', 0.7002630374991622)","('ΓΔ', 0.6820215293802715)","('Ρ', 0.6808510373150825)","('ΥA', 0.6439404702622493)","('Β', 0.6254566447643864)","('Ξ', 0.6242285644875465)","('Ζ', 0.6192347563117829)","('Υ', 0.6054045577393299)","('Ε', 0.5953477623792669)","('ΥΛ', 0.5353813661799592)","('ΓA', 0.5199311610573101)","('Σ', 0.4472904173892511)","('ΓΛ', 0.3574884411141178)","('Τ', 0.3492327758718198)","('Γ', 0.29612614257186576)","('Ι', 0.1314235105724164)","('´', 0.0)"
